Given ID,First Name,Last Name,Gender,Birth Date,Prefer to be with,Prefer Not to be with,attr 1,attr 2,attr 3,attr 4
821594446,Marcia,Denmead,Male,21/06/2000,295143269;736228908,,0.29,0.3,0.52,1.72
789496068,Dalton,Skaif,Male,07/01/2002,588451876;981171044,,2.77,1.84,2.01,3.48
585193025,Carly,Bretherick,Female,22/08/2001,874861742;234523067,,1.61,1.61,1.96,3.31
521126106,Retha,Llewelyn,Female,21/04/2002,571240146;141493642,,3.64,4.13,4.53,1.75
561234248,Carri,Pfiffer,Male,27/02/2000,402788340;851548777,,4.2,2.55,4.63,0.16
368863386,Whitman,Corkill,Female,16/01/2001,526048852;203352054,,4.84,0.87,3.2,2.82
495284650,Daisey,Coopman,Female,21/01/2002,634123383;421130070,,0.63,2.64,3.8,3.16
397455352,Jacquenetta,Clementel,Male,29/01/2000,927022991;495284650,,3.46,0.17,0.34,1.49
402905231,Nanette,Jarratt,Male,20/10/2000,175172135;588451876,,4,1.01,4.42,4.78
534008191,Teddie,Eivers,Male,30/03/2000,154456728;202967696,,2.55,2.69,3.88,3.5
689437824,Adlai,Beake,Male,27/09/2002,693129070;821594446,,1.18,3.19,0.22,1.67
175782343,Janka,Thorouggood,Male,20/04/2001,836113867;536869429,,0.61,4.61,3.19,4.08
669395223,Henriette,Matonin,Male,26/04/2002,345003630;148359921,,1.35,1.24,0.88,4.3
128495464,Berkley,Lewinton,Male,13/01/2000,822292711;759761057,,3.3,1.84,0.38,2.96
315299396,Brynna,Shackesby,Female,19/08/2001,477361781;492345523,,1.86,0.93,0.85,2.58
981171044,Conway,Ellacombe,Male,14/12/2001,876515841;313659800,,3.06,0.87,3.33,0.87
589342867,Lanette,Dumbellow,Male,12/03/2000,681279038;588050360,,2.09,4.58,1.55,4.05
877922339,Montgomery,Tockell,Male,15/11/2002,429142987;532021980,,1.58,3.46,1.56,0.04
765237167,Trumaine,O'Rodane,Male,28/12/2000,323877826;927022991,,2.48,0.89,4.13,3.34
148359921,Robby,Taillard,Female,15/04/2001,930557313;306739178,,4.61,3.9,2.14,0.94
573846618,Kevyn,Caldero,Male,07/04/2002,264864557;587116957,,4.67,3.79,3.5,3.2
306739178,Wilden,McKeand,Female,16/09/2001,929083701;402788340,,0.82,4.35,1.02,3.02
345003630,Abby,Twelvetree,Female,27/09/2001,759761057;593955373,,2.08,4.67,0.17,4.53
776359190,Josefina,Brunini,Female,24/09/2001,727250205;681279038,,3.17,0.47,4.62,2.86
313670086,Lisette,Napton,Female,15/01/2001,619418738;270580071,315299396,2.39,0.31,1.22,1.2
264864557,Giorgia,Trasler,Male,03/10/2002,654196184;710062657,981171044,2.95,4.46,4.23,1.55
519040507,Shepherd,Heims,Male,23/03/2002,901779324;403241598,589342867,2.95,4.1,2.19,4.16
216760161,Peta,Walliker,Female,22/05/2001,478492985;455025859,877922339,3.25,4.54,2.87,4.75
927022991,Emery,Flatt,Female,13/12/2000,251850671;154456728,765237167,2.49,3.07,3.37,2.97
223730104,Marve,Keepe,Female,23/08/2000,196330647;589342867,148359921,0.95,0.39,4.04,2.42
527771484,Orel,Norcliffe,Male,06/01/2001,540459322;283466575,573846618,2.38,1.03,1.15,0.25
411753374,Roseline,Bilverstone,Male,28/06/2000,464266719;249071416,,1.27,2.59,0.78,2.52
123209685,Cyrillus,Benoey,Male,13/11/2002,821594446;374876107,,3.35,0.31,1.06,2.32
741318113,Oswell,Roby,Female,28/05/2002,561234248;599099544,,3.83,0.85,3.17,1.73
465876269,Arvin,Decaze,Female,26/03/2000,313659800;908427718,,4.53,4.75,3.44,4.29
599414383,Hamish,Bargery,Male,21/01/2002,795811795;581584648,,4.85,3.78,0.27,3.38
314361882,Corrie,Lozano,Male,07/03/2000,721681683;508637540,,1.61,3.27,4.81,2.83
203352054,Thornton,Greeves,Male,21/10/2002,272523642;323877826,,3.38,4.21,4.1,4.56
323877826,Wilden,Snar,Female,06/02/2001,896839109;426727387,,4.19,4.68,3,3.35
581584648,Sonya,Rivelin,Male,09/01/2001,575468937;876515841,,1.19,4.33,0.18,1.75
272523642,Cordi,Wrist,Male,25/08/2002,957786960;692778905,,0.31,0.74,0.76,2.71
913225439,Egon,Crat,Male,07/05/2002,273302646;112167214,,2.31,0.47,2.53,0.45
426727387,Urbano,Vardy,Male,17/05/2000,707589807;272523642,,4.7,3.1,3.34,2.12
202967696,Erminie,Yanele,Female,23/03/2000,406382063;551986973,,1.42,4.36,3.84,0.41
551986973,Mollee,McArthur,Male,18/05/2001,313670086;462731784,,4.56,1.78,0.07,1.4
236762744,Tuck,Bundy,Male,25/10/2000,692778905;821594446,,3.55,1.34,1.22,2.14
600372846,Hamilton,Kareman,Female,03/02/2001,278157412;521126106,642646018,3.22,3.98,3.61,0.25
175172135,Melinda,Sherrock,Male,09/11/2001,234523067;151358599,339527961,3.64,4.69,1.54,2.24
313659800,Dar,Kirkpatrick,Male,26/07/2000,539722251;721681683,929083701,4.22,3.94,0.19,0.11
839697687,Moore,Barden,Male,14/03/2001,403241598;345003630,782475448,2.28,2.23,1.83,0.82
508637540,Ludvig,Ewington,Male,09/03/2001,635566683;315299396,296935828,4.58,3.42,0.04,2.1
403241598,Andrey,Stobbart,Male,03/04/2002,277095092;463498347,851548777,2.8,0.68,3.98,0.92
504764680,Dorri,Ellings,Female,28/08/2001,283466575;634123383,681279038,3.71,2.81,2.51,2.53
225368446,Carlita,Sheldrake,Male,27/10/2001,112220670;871011109,196330647,0.26,0.75,2.29,1.8
913780813,Tallou,Perillo,Female,27/09/2000,368863386;930557313,277564378,1.21,3.57,3.86,0.48
395095310,Jerry,Anthonsen,Female,22/12/2000,724696453;900033268,323365280,2.37,1.51,2.53,1.41
450876283,Darby,Vicioso,Male,15/04/2002,202967696;335797841,724696453,4.76,4.44,1.08,4.97
908427718,Dale,Matthis,Male,18/06/2000,877922339;575468937,492345523,0.42,0.49,2.79,4.4
462731784,Kristopher,Lemmers,Female,03/12/2001,581584648;807415541,,4.5,0.34,0.8,4.75
901779324,Avram,Scroggs,Male,11/02/2001,232528437;313670086,,4.68,3.41,4.52,3.98
135088477,Merry,Braund,Male,04/12/2001,249071416;756679719,,0.46,0.3,3.2,1.15
962635032,Gabbie,Arno,Male,10/12/2002,395095310;397455352,,4.23,4.28,0.6,2.6
335797841,Rena,Franseco,Female,04/12/2002,797045732;795811795,,4.35,3.47,3.95,4.11
871011109,Grady,Nolli,Female,21/06/2002,551986973;874861742,,2.53,1.18,2.99,3.23
714269453,Jennette,Barus,Male,18/08/2001,450876283;822292711,,3.58,1.87,2.29,3.1
807415541,Edvard,Wilbud,Male,14/01/2002,141493642;295143269,,4.04,2.8,0.51,3.47
575468937,Simmonds,Yates,Female,21/02/2001,570649669;718649149,,4.28,1.24,0.47,0.12
249071416,Ingra,Marjoribanks,Female,28/07/2002,227538729;582000431,,4.41,0.38,1.18,1.38
141493642,Riordan,Presdie,Female,20/10/2002,519518933;406382063,,4.83,4.07,0.12,2.8
959078335,Reta,Braunton,Female,17/06/2002,917667821;727250205,,1.85,1.5,0.81,3.54
406382063,Ronnie,Bernardes,Female,14/12/2002,151358599;839697687,,2.05,2.48,3.21,0.77
190952589,Reinhard,Ferguson,Female,16/12/2002,504764680;128495464,,4.58,0.98,2.55,1.52
239158645,Domini,Burns,Female,10/02/2002,339527961;962635032,,4.49,1.69,2.23,1.83
822292711,Tierney,Kepe,Male,29/12/2002,203352054;917667821,,4.08,3.11,1.9,0.65
270580071,Onofredo,Clerke,Female,11/01/2002,962635032;227538729,,2.58,1.05,0.38,4.41
464266719,Basilius,Barca,Male,01/08/2000,495284650;635566683,,4.52,1.83,4.61,1.74
842044316,Maurita,Caldecourt,Male,19/09/2002,959078335;570649669,,0.35,3.04,4.79,2.79
756679719,Jedidiah,Vial,Female,12/09/2001,270580071;957786960,,3.1,4.88,0.01,3.76
463498347,Zelma,Liffey,Male,20/07/2001,455025859;450876283,526048852,1.75,0.47,1.09,3.24
477361781,Gard,Bluschke,Male,30/12/2000,335797841;622128590,539722251,1.66,1.26,1.19,3.08
570649669,Kassi,Kidwell,Female,20/03/2002,703106136;314361882,376824464,0.43,0.45,4.52,3.58
343297807,Janean,Tripony,Female,08/08/2000,622128590;323365280,429142987,2.08,4.93,0.02,4.8
703106136,Matthaeus,Casier,Male,09/10/2002,314361882;216760161,917667821,0.19,2.38,2.17,0.23
483835553,Sigismond,Lambell,Female,26/03/2001,462731784;478492985,278157412,0.49,3.99,2.91,0.04
795811795,Boyce,Troup,Female,08/07/2002,216760161;519040507,151358599,3.33,0.14,0.33,3.72
855378585,Donaugh,Skellon,Male,17/09/2000,323365280;534008191,,3.58,3.89,0.81,1.15
727250205,Cammy,Hodcroft,Female,06/01/2002,681080997;770988582,,2.28,0.03,4.51,0.89
797045732,Patti,Lexa,Male,09/02/2001,521126106;913225439,,1.04,4.7,3.94,3.72
736228908,Aguie,Bendell,Male,25/03/2000,807415541;504764680,,2.01,2.75,0.02,3.07
287427651,Zane,Maffi,Male,27/03/2000,315299396;887170854,,1.86,3.51,1.41,0.06
232528437,Germana,Aleksich,Female,15/02/2000,236762744;896839109,,4.17,4.78,2.37,4.81
884460848,Rosalynd,Gofford,Male,13/10/2002,411753374;483835553,,0.9,0.45,1.32,4.08
693129070,Gracia,Bansal,Female,16/07/2002,223730104;789496068,,0.91,3.94,1.75,0.11
295143269,Debbi,Lumber,Male,20/10/2001,190952589;721681683,,4.86,3.93,3.53,4.33
887170854,Sandy,Haskett,Male,25/02/2002,599414383;765237167,,0.3,0.21,1.97,1.87
154456728,Carry,De Vere,Male,29/04/2002,248021539;836113867,,3.92,0.05,2.03,0.17
718649149,Ranice,Halbeard,Male,25/02/2002,622128590;264864557,,4.05,3.03,3.64,1.24
540459322,Ula,Petrovic,Female,23/11/2001,343297807;251850671,,4.47,3.66,2.92,3.42
582000431,Jazmin,Edlyn,Male,09/10/2001,251850671;797045732,,4.5,0.83,2.85,3.84
642646018,Birk,Sipson,Female,14/07/2002,689437824;273302646,,3.58,3.82,0.82,2.7
339527961,Levey,MacGeffen,Male,14/09/2001,239158645;232528437,,2.01,4.02,2.62,1.66
929083701,Gus,Pink,Male,10/05/2002,519040507;526048852,,3.33,2.35,3.62,4.07
782475448,Britta,Russell,Male,30/06/2002,225368446;395095310,,2.23,3.88,1.26,1.79
296935828,Jaclin,Hadlington,Male,29/10/2002,148359921;571240146,,2.75,0.65,4.33,4.24
851548777,Buckie,Kempton,Male,11/12/2002,900033268;599414383,,4.5,0.12,3.2,2.33
681279038,Bride,Wink,Male,28/10/2002,306739178;929083701,,1.5,3.56,1.89,0.9
196330647,Ogden,Brahm,Female,10/08/2002,887170854;429142987,,3.33,3.93,4.33,3.56
277564378,Hakeem,Willshee,Male,18/10/2000,736228908;411753374,,2.99,3.94,3.99,2.04
323365280,Thibaut,Barthelmes,Female,07/12/2001,741318113;654196184,,3.26,2.35,4.58,1.03
724696453,Gillian,Stranahan,Male,27/05/2000,776359190;901779324,,0.01,4,0.42,3.63
492345523,Sidonia,Atcheson,Male,01/02/2002,358288107;642646018,692778905,2.77,0.03,1.75,1.16
532021980,Elfreda,Philcott,Female,16/09/2001,374876107;339527961,421130070,2.19,3.39,3.5,1.01
273302646,Marne,Broschek,Male,14/04/2002,128495464;561234248,587116957,2.54,1.19,1.43,3.7
759761057,Glyn,Idenden,Female,10/11/2001,710062657;464266719,894314987,3.63,2.98,3.35,0.37
112167214,Rogers,Murney,Female,14/11/2002,402905231;277564378,770988582,1.35,3.46,4.05,4.51
681080997,Jameson,Allan,Female,22/06/2002,981171044;585193025,227538729,0.03,1.79,0.36,1.91
599099544,Fidela,Beavers,Female,24/04/2001,527771484;112220670,588050360,4.05,0.51,3.55,3.15
900033268,Kirbee,O'Reagan,Female,20/02/2000,782475448;565610142,571240146,2.96,1.1,2.32,2.59
358288107,Claus,Murkin,Female,12/03/2002,587116957;837237941,593955373,2.41,2.25,3.98,4.45
710062657,Esta,Devany,Male,16/11/2001,426727387;296935828,565610142,1.53,1.66,2.69,3.38
692778905,Derrik,Ilyas,Female,21/09/2000,463498347;236762744,,1.01,2.71,4.55,1.34
421130070,Tabina,Papes,Male,10/05/2000,839697687;248021539,,0.62,4.23,4.18,1
587116957,Mady,Allingham,Female,08/07/2000,277564378;223730104,,0.09,2.57,1.55,2.43
894314987,Penn,Sotham,Female,20/06/2001,112167214;402905231,,2.88,0.13,3.73,4.59
770988582,Yettie,Caltera,Male,03/06/2000,588050360;376824464,,0.57,3.88,0.72,2.1
227538729,Virgie,La Vigne,Male,05/12/2001,842044316;278157412,,3.36,4.6,3.87,2.29
588050360,Kimbell,Kane,Male,14/08/2002,642646018;669395223,,2.15,1.43,4.02,3.03
571240146,Cordi,Welham,Female,09/02/2001,770988582;724696453,,2.58,3.83,2.79,0.34
593955373,Karlie,Kenderdine,Female,13/05/2000,534008191;123209685,,4.02,0.79,2.69,3.5
565610142,Evelina,Cottey,Male,19/07/2000,894314987;175782343,,4.74,0.97,4.19,3.67
619418738,Zacherie,Di Francecshi,Female,15/05/2000,536869429;368863386,,0.43,1.88,0.41,4.65
930557313,Katherina,Allbon,Male,20/02/2002,849261888;693129070,,1.16,1.83,0.77,1.7
837237941,Meggi,Carleman,Male,25/01/2002,593955373;573846618,,0.46,1.98,4.68,2.58
234523067,Lemmie,McCrostie,Female,01/11/2002,669395223;884460848,,2.86,2.28,2.82,4.81
374876107,Petrina,Shellum,Female,29/01/2002,532021980;277095092,,3.43,4.46,3.26,3.26
402788340,Valery,Velten,Male,24/11/2000,585193025;741318113,,3.24,2.85,2.53,2.81
876515841,Amandy,Salzburger,Male,19/07/2001,287427651;585193025,,0.14,3.6,4.46,4.21
526048852,Talbot,Pargiter,Female,28/03/2002,913225439;776359190,,3.28,4.91,2.94,3.85
539722251,Leigha,Walrond,Female,09/09/2001,908427718;477361781,,4.05,3.07,1.14,1.47
376824464,Inge,Rubinchik,Female,08/01/2002,175782343;540459322,,0.76,4.63,3.31,2.91
429142987,Quinn,Zmitruk,Female,21/08/2002,884460848;225368446,,4,2.9,4.18,2.93
917667821,Randell,Lande,Female,04/12/2001,765237167;519518933,,4.64,3.76,1.05,3.93
278157412,Bianka,Limpkin,Male,25/02/2001,714269453;703106136,,4.85,0.27,0.14,2.84
151358599,Janeczka,Merrgan,Female,22/09/2001,465876269;358288107,,0.58,3.62,1.86,2.3
